MyVenueCode,LocationName,LocationCode,LocationDescription,Venue,Department,Menu,POSProfile,Family,PriceLevel,IsWarehouse,Active
86,AA - ADMINISTRATIVE TRANSACTIONS,AA,ADMINISTRATIVE TRANSACTIONS,The Pit,34964 - ADMINISTRATION,ADMINISTRATIVE,THE PIT - UNM ARENA,,ADMINISTRATIVE,0,0
5,BB 101 - BASEBALL TRAILER,BB 101,BASEBALL TRAILER,Baseball,36127 - CONCESSIONS,BB 101 - BASEBALL TRAILER,UNM BASEBALL,BB 101 - BASEBALL TRAILER,BASEBALL,0,1
13,FB 100 - TRAILER N CONCOURSE,FB 100,TRAILER N CONCOURSE,Football Stadium,36127 - CONCESSIONS,FB 100 - TRAILER N CONCOURSE,UNM FOOTBALL STADIUM,FB 100 - TRAILER N CONCOURSE,CONCESSIONS PRICING,0,1
81,FB 100B - MBP TRAILER N CONCOURSE,FB 100B,MBP TRAILER N CONCOURSE,Football Stadium,36127 - CONCESSIONS,000 - MBP - ALL PORTABLES,UNM FOOTBALL STADIUM,CONCESSIONS - ALCOHOL ALL - MBP & STANDS,CONCESSIONS PRICING,0,1
6,FB 101 - STADIUM SIPS SHACK SW,FB 101,STADIUM SIPS SHACK SW,Football Stadium,36127 - CONCESSIONS,FB 101 - STADIUM SIPS SHACK SW,UNM FOOTBALL STADIUM,FB 101 - STADIUM SIPS SHACK- SW,CONCESSIONS PRICING,0,1
7,FB 102 - TOWER SOUTH,FB 102,TOWER SOUTH,Football Stadium,36127 - CONCESSIONS,FB 102 - TOWER SOUTH,UNM FOOTBALL STADIUM,FB 102 - TOWER SOUTH,CONCESSIONS PRICING,0,1
8,FB 103 - TOWER NORTH,FB 103,TOWER NORTH,Football Stadium,36127 - CONCESSIONS,FB 103 - TOWER NORTH,UNM FOOTBALL STADIUM,FB 103 - TOWER NORTH,CONCESSIONS PRICING,0,1
9,FB 104 - RED RALLY NORTH WEST,FB 104,RED RALLY NORTH WEST,Football Stadium,36127 - CONCESSIONS,FB 104 - RED RALLY NORTH WEST,UNM FOOTBALL STADIUM,FB 104 - RED RALLY NORTH WEST,CONCESSIONS PRICING,0,1
10,FB 105 - NW SPECIALTY - DAWG HOUSE 2.0,FB 105,NW SPECIALTY - DAWG HOUSE 2.0,Football Stadium,36127 - CONCESSIONS,FB 105 - NW SPECIALTY - DAWG 2.0,UNM FOOTBALL STADIUM,FB 107 - NE SPECIALTY DAWG HOUSE,CONCESSIONS PRICING,0,1
11,FB 106 - RED RALLY NORTH EAST,FB 106,RED RALLY NORTH EAST,Football Stadium,36127 - CONCESSIONS,FB 106 - RED RALLY NORTH EAST,UNM FOOTBALL STADIUM,FB 106 - RED RALLY NORTH EAST,CONCESSIONS PRICING,0,1
62,FB 107 - NE SPECIALTY - DAWG HOUSE,FB 107,NE SPECIALTY - DAWG HOUSE,Football Stadium,36127 - CONCESSIONS,FB 107 - NE SPECIALTY - DAWG HOUSE,UNM FOOTBALL STADIUM,FB 107 - NE SPECIALTY DAWG HOUSE,CONCESSIONS PRICING,0,1
14,FB 108 - GRAB N GO - NW,FB 108,GRAB N GO - NW,Football Stadium,36127 - CONCESSIONS,FB 108 - GRAB N GO - NW,UNM FOOTBALL STADIUM,FB 109 - GRAB N GO-NORTH WEST,CONCESSIONS PRICING,0,1
15,FB 109 - MBP - NORTH EAST,FB 109,MBP - NORTH EAST,Football Stadium,36127 - CONCESSIONS,000 - MBP - ALL PORTABLES,UNM FOOTBALL STADIUM,CONCESSIONS - ALCOHOL ALL - MBP & STANDS,CONCESSIONS PRICING,0,1
84,FB 109B - MBP - NORTH EAST 2.0 POLE,FB 109B,MBP - NORTH EAST 2.0 POLE,Football Stadium,36127 - CONCESSIONS,000 - MBP - ALL PORTABLES,UNM FOOTBALL STADIUM,CONCESSIONS - ALCOHOL ALL - MBP & STANDS,CONCESSIONS PRICING,0,1
16,FB 110 - MBP - NORTH WEST (Shivers),FB 110,MBP - NORTH WEST (Shivers),Football Stadium,36127 - CONCESSIONS,000 - MBP - ALL PORTABLES,UNM FOOTBALL STADIUM,CONCESSIONS - ALCOHOL ALL - MBP & STANDS,CONCESSIONS PRICING,0,1
30,FB 111 - MBP - NORTH WEST (PROMO),FB 111,MBP - NORTH WEST (PROMO),Football Stadium,36127 - CONCESSIONS,000 - MBP - ALL PORTABLES,UNM FOOTBALL STADIUM,CONCESSIONS - ALCOHOL ALL - MBP & STANDS,CONCESSIONS PRICING,0,1
21,FB 112 - MBP - NE PEPSI TRAILER,FB 112,MBP - NE PEPSI TRAILER,Football Stadium,36127 - CONCESSIONS,FB 108 - GRAB N GO - NW,UNM FOOTBALL STADIUM,CONCESSIONS - ALCOHOL ALL - MBP & STANDS,CONCESSIONS PRICING,0,1
73,FB 113 - MBP - STUDENT ZONE (SE),FB 113,MBP - STUDENT ZONE (SE),Football Stadium,36127 - CONCESSIONS,FB 117-118 - ELOTICO CART,UNM FOOTBALL STADIUM,FB - ELOTICO CARTS,CONCESSIONS PRICING,0,1
74,FB 114 - MBP - MINI MELTS (NW),FB 114,MBP - MINI MELTS (NW),Football Stadium,36127 - CONCESSIONS,FB - MINI MELTS ICE CREAM CART,UNM FOOTBALL STADIUM,MINI MELTS ICE CREAM CART,CONCESSIONS PRICING,0,1
85,FB 115 - MBP - MINI MELTS (NE),FB 115,MBP - MINI MELTS (NE),Football Stadium,36127 - CONCESSIONS,FB - MINI MELTS ICE CREAM CART,UNM FOOTBALL STADIUM,MINI MELTS ICE CREAM CART,CONCESSIONS PRICING,0,1
77,FB 117 - MBP ELOTICO CART (NW),FB 117,MBP ELOTICO CART (NW),Football Stadium,36127 - CONCESSIONS,FB 117-118 - ELOTICO CART,UNM FOOTBALL STADIUM,FB - ELOTICO CARTS,CONCESSIONS PRICING,0,1
78,FB 118 - MBP SW DOG CART,FB 118,MBP SW DOG CART,Football Stadium,36127 - CONCESSIONS,FB 118 - MBP SW DOG CART,UNM FOOTBALL STADIUM,FB 118 - MBP SW DOG CART,CONCESSIONS PRICING,0,1
