MyVenueCode,AliasName,AliasType,Notes
86,AA - ADMINISTRATIVE TRANSACTIONS,OFFICIAL,Canonical MyVenue name
86,AA,CODE,Unique location code
5,BB 101 - BASEBALL TRAILER,OFFICIAL,Canonical MyVenue name
5,BB 101,CODE,Unique location code
13,FB 100 - TRAILER N CONCOURSE,OFFICIAL,Canonical MyVenue name
13,FB 100,CODE,Unique location code
81,FB 100B - MBP TRAILER N CONCOURSE,OFFICIAL,Canonical MyVenue name
81,FB 100B,CODE,Unique location code
6,FB 101 - STADIUM SIPS SHACK SW,OFFICIAL,Canonical MyVenue name
6,FB 101,CODE,Unique location code
7,FB 102 - TOWER SOUTH,OFFICIAL,Canonical MyVenue name
7,FB 102,CODE,Unique location code
8,FB 103 - TOWER NORTH,OFFICIAL,Canonical MyVenue name
8,FB 103,CODE,Unique location code
9,FB 104 - RED RALLY NORTH WEST,OFFICIAL,Canonical MyVenue name
9,FB 104,CODE,Unique location code
10,FB 105 - NW SPECIALTY - DAWG HOUSE 2.0,OFFICIAL,Canonical MyVenue name
10,FB 105,CODE,Unique location code
11,FB 106 - RED RALLY NORTH EAST,OFFICIAL,Canonical MyVenue name
11,FB 106,CODE,Unique location code
62,FB 107 - NE SPECIALTY - DAWG HOUSE,OFFICIAL,Canonical MyVenue name
62,FB 107,CODE,Unique location code
14,FB 108 - GRAB N GO - NW,OFFICIAL,Canonical MyVenue name
14,FB 108,CODE,Unique location code
15,FB 109 - MBP - NORTH EAST,OFFICIAL,Canonical MyVenue name
15,FB 109,CODE,Unique location code
84,FB 109B - MBP - NORTH EAST 2.0 POLE,OFFICIAL,Canonical MyVenue name
84,FB 109B,CODE,Unique location code
16,FB 110 - MBP - NORTH WEST (Shivers),OFFICIAL,Canonical MyVenue name
16,FB 110,CODE,Unique location code
30,FB 111 - MBP - NORTH WEST (PROMO),OFFICIAL,Canonical MyVenue name
30,FB 111,CODE,Unique location code
21,FB 112 - MBP - NE PEPSI TRAILER,OFFICIAL,Canonical MyVenue name
21,FB 112,CODE,Unique location code
73,FB 113 - MBP - STUDENT ZONE (SE),OFFICIAL,Canonical MyVenue name
73,FB 113,CODE,Unique location code
74,FB 114 - MBP - MINI MELTS (NW),OFFICIAL,Canonical MyVenue name
74,FB 114,CODE,Unique location code
85,FB 115 - MBP - MINI MELTS (NE),OFFICIAL,Canonical MyVenue name
85,FB 115,CODE,Unique location code
77,FB 117 - MBP ELOTICO CART (NW),OFFICIAL,Canonical MyVenue name
77,FB 117,CODE,Unique location code
78,FB 118 - MBP SW DOG CART,OFFICIAL,Canonical MyVenue name
78,FB 118,CODE,Unique location code
80,FB 119 - HAWK VENDORS,OFFICIAL,Canonical MyVenue name
80,FB 119,CODE,Unique location code
76,FB 120 - MBP N. SCOREBOARD WEST NO.1,OFFICIAL,Canonical MyVenue name
76,FB 120,CODE,Unique location code
89,FB 121 - MBP N. SCOREBOARD EAST NO.2,OFFICIAL,Canonical MyVenue name
89,FB 121,CODE,Unique location code
91,FB 122 - MBP - NORTH WEST (GATE),OFFICIAL,Canonical MyVenue name
91,FB 122,CODE,Unique location code
57,FB 151 - SUB SUGAR SHIVERS,OFFICIAL,Canonical MyVenue name
57,FB 151,CODE,Unique location code
90,FB 152 - SUB LAGUNA BURGER,OFFICIAL,Canonical MyVenue name
90,FB 152,CODE,Unique location code
38,FB 155 - SUB ISLAND NOODLES,OFFICIAL,Canonical MyVenue name
38,FB 155,CODE,Unique location code
17,FB 401 - PREM. PRESS LEVEL,OFFICIAL,Canonical MyVenue name
17,FB 401,CODE,Unique location code
18,FB 402 - PREM. ZIA 1,OFFICIAL,Canonical MyVenue name
18,FB 402,CODE,Unique location code
19,FB 403 - PREM. ZIA 2,OFFICIAL,Canonical MyVenue name
19,FB 403,CODE,Unique location code
20,FB 404 - PREM. END ZONE CLUB EZC,OFFICIAL,Canonical MyVenue name
20,FB 404,CODE,Unique location code
50,FB 405 - PREM-OUTSIDE EVENT PORTABLE,OFFICIAL,Canonical MyVenue name
50,FB 405,CODE,Unique location code
52,FB 406 - FIELD SUITES,OFFICIAL,Canonical MyVenue name
52,FB 406,CODE,Unique location code
71,PIT 100 - VENDING (HAWK),OFFICIAL,Canonical MyVenue name
71,PIT 100,CODE,Unique location code
31,PIT 101 - A - POP & POUR (Q),OFFICIAL,Canonical MyVenue name
32,PIT 101 - B -  NACHOMAMA (R),OFFICIAL,Canonical MyVenue name
33,PIT 102 - THE PIT STOP (U),OFFICIAL,Canonical MyVenue name
33,PIT 102,CODE,Unique location code
34,PIT 103 - SUB SUGAR SHIVERS (V),OFFICIAL,Canonical MyVenue name
34,PIT 103,CODE,Unique location code
35,PIT 104 - BURQUE BREWS (W),OFFICIAL,Canonical MyVenue name
35,PIT 104,CODE,Unique location code
36,PIT 105 - HOWL VODKA LEMONADE (Z),OFFICIAL,Canonical MyVenue name
36,PIT 105,CODE,Unique location code
37,PIT 106 - LOUIE'S DAWG HOUSE (C),OFFICIAL,Canonical MyVenue name
37,PIT 106,CODE,Unique location code
53,PIT 107 - SUB - LAGUNA BURGER (G),OFFICIAL,Canonical MyVenue name
53,PIT 107,CODE,Unique location code
39,PIT 108 - HOOP & GO (J),OFFICIAL,Canonical MyVenue name
39,PIT 108,CODE,Unique location code
40,PIT 109 - ALLEYOOP (L),OFFICIAL,Canonical MyVenue name
40,PIT 109,CODE,Unique location code
64,PIT 110 - PAPITAS (M),OFFICIAL,Canonical MyVenue name
64,PIT 110,CODE,Unique location code
